length,score
496,0.0
585,0.0
13840,0.0
15245,0.0
522,0.0
21280,-452.0
1533,-35.0
593,-62.0
413,0.0
655,0.0
2215,-300.0
491,0.0
2892,-263.0
2601,-443.0
2801,-801.0
2397,-210.0
7365,-1950.0
9670,-1118.0
4745,-100.0
1455,-50.0
2041,-136.0
385,0.0
1690,-119.0
748,-36.0
790,0.0
3102,-300.0
1367,-100.0
1356,-112.0
1377,-3.0
9082,-1348.0
260,0.0
7559,-1225.0
3674,-500.0
439,0.0
590,-22.0
764,-43.0
1706,-300.0
1040,-200.0
2399,-390.0
1809,-252.0
582,0.0
584,0.0
415,0.0
489,0.0
2256,-402.0
1627,-65.0
1386,-200.0
259,0.0
2047,-392.0
806,0.0
1006,-94.0
2490,-522.0
754,-41.0
287,0.0
674,-21.0
584,-1.0
602,-48.0
1177,-24.0
563,0.0
782,0.0
4749,-473.0
545,-45.0
4628,-300.0
752,-8.0
395,0.0
767,0.0
1103,-214.0
1099,-36.0
950,-46.0
724,-258.0
2874,-227.0
1123,-35.0
1394,0.0
1237,-234.0
2840,-292.0
1348,-120.0
1252,-170.0
500,-35.0
1713,-286.0
752,-86.0
428,-1.0
589,-42.0
1191,-27.0
667,0.0
946,0.0
294,0.0
5220,-1094.0
509,0.0
2890,-408.0
759,0.0
591,-36.0
759,-24.0
525,0.0
1767,-343.0
744,-32.0
770,0.0
364,0.0
1015,0.0
518,0.0
4349,-893.0
1390,0.0
663,0.0
600,0.0
576,-24.0
2045,-146.0
585,-45.0
1005,-84.0
842,0.0
409,0.0
3776,-748.0
586,0.0
4964,-942.0
2155,-343.0
577,0.0
2267,-331.0
943,0.0
7182,-1400.0
2594,-164.0
1362,-35.0
504,0.0
1156,-87.0
1610,-258.0
930,-62.0
584,0.0
1048,-100.0
635,-24.0
508,0.0
587,0.0
1261,-96.0
681,0.0
684,0.0
418,0.0
1825,-126.0
762,0.0
408,-16.0
674,0.0
752,-15.0
429,0.0
757,-82.0
748,-70.0
432,-33.0
412,0.0
845,-44.0
1660,0.0
1021,-84.0
437,0.0
1281,-28.0
2368,-230.0
