length,score
99999,-2000.0
2164,-524.0
687,-22.0
6060,-842.0
2154,-482.0
502,-91.0
772,-29.0
1777,-151.0
685,0.0
1898,-100.0
1722,-226.0
2733,-100.0
7562,-989.0
4709,-444.0
6821,-540.0
686,0.0
1060,-12.0
5878,-1065.0
2549,-300.0
761,0.0
4461,-500.0
429,0.0
1940,-200.0
1561,-100.0
664,0.0
1095,-28.0
1161,-116.0
761,0.0
3517,-839.0
493,0.0
3935,-300.0
951,-22.0
761,-8.0
3739,-461.0
1931,-168.0
1449,-8.0
2901,-670.0
501,-20.0
661,0.0
560,0.0
6152,-1313.0
561,0.0
1194,-200.0
763,0.0
929,0.0
3531,-600.0
949,-288.0
511,-22.0
6746,-1025.0
9547,-1486.0
555,0.0
2308,-454.0
2637,-682.0
1842,-100.0
730,0.0
508,0.0
1223,-133.0
3723,-500.0
2881,-240.0
1877,-483.0
2799,-618.0
5591,-608.0
3402,-600.0
2242,-100.0
2998,-519.0
554,0.0
746,-41.0
2028,-334.0
1775,-200.0
665,-24.0
5503,-461.0
1640,-291.0
692,-22.0
1193,-15.0
400,-10.0
