length,score
765,-22.0
3736,-400.0
766,-72.0
583,-24.0
949,0.0
407,-14.0
2924,-509.0
15065,-2000.0
1709,-100.0
845,0.0
8511,-2000.0
1309,0.0
665,-20.0
4884,-926.0
520,0.0
571,0.0
496,0.0
776,-108.0
614,0.0
1283,-39.0
667,-25.0
863,-22.0
3234,-617.0
2959,-799.0
4322,-1326.0
584,-68.0
1009,-87.0
382,0.0
502,-16.0
848,0.0
1183,-111.0
745,0.0
349,0.0
406,0.0
420,0.0
504,-16.0
757,-17.0
1310,0.0
1189,-215.0
741,0.0
673,-53.0
1157,-300.0
432,0.0
1013,-213.0
669,0.0
834,-2.0
757,-18.0
1149,0.0
1253,-131.0
924,0.0
2296,-202.0
922,-35.0
837,0.0
1257,-80.0
504,-42.0
421,0.0
436,0.0
841,-5.0
685,0.0
745,-26.0
1699,-234.0
676,-43.0
1010,-13.0
845,0.0
1014,-79.0
1180,-100.0
1084,-134.0
772,-37.0
926,-22.0
662,-22.0
662,-66.0
987,-26.0
406,0.0
1116,-122.0
755,-36.0
1246,-586.0
435,0.0
334,0.0
594,-18.0
743,-26.0
749,0.0
419,0.0
683,-17.0
863,-76.0
1082,-36.0
761,-22.0
754,-55.0
583,0.0
943,-81.0
1195,0.0
600,0.0
577,-56.0
930,-21.0
936,-4.0
333,0.0
502,-15.0
751,0.0
1086,-94.0
670,0.0
481,-26.0
1201,-50.0
1015,0.0
595,-14.0
338,-24.0
914,-42.0
519,-1.0
501,0.0
847,-1.0
859,0.0
493,-14.0
670,-44.0
1196,-50.0
1172,-17.0
1011,-41.0
411,-71.0
507,-12.0
252,0.0
759,0.0
480,0.0
525,-33.0
590,-31.0
834,-33.0
416,-8.0
776,0.0
1257,0.0
494,-42.0
498,0.0
513,-43.0
435,0.0
1315,0.0
1116,-40.0
409,0.0
421,0.0
675,0.0
424,0.0
842,-45.0
671,0.0
841,0.0
750,0.0
1097,-105.0
1709,-510.0
832,-27.0
850,0.0
830,-46.0
337,0.0
505,-46.0
687,-22.0
505,-6.0
578,0.0
912,-47.0
3212,-100.0
503,0.0
676,-8.0
762,-21.0
501,-50.0
429,0.0
367,0.0
579,-40.0
854,0.0
1882,-268.0
421,0.0
338,0.0
587,-68.0
418,-27.0
425,-12.0
435,-22.0
502,-24.0
344,0.0
928,-95.0
411,0.0
432,0.0
333,-11.0
330,0.0
493,-40.0
838,-38.0
854,-73.0
406,0.0
493,-1.0
418,0.0
587,-22.0
503,0.0
662,-107.0
1952,-200.0
742,-15.0
760,-100.0
837,0.0
676,0.0
402,0.0
334,0.0
751,-26.0
420,0.0
685,0.0
401,0.0
328,0.0
515,-19.0
330,0.0
410,-13.0
1259,-104.0
849,-75.0
494,0.0
589,-15.0
933,-126.0
651,0.0
664,-12.0
496,-35.0
596,-24.0
330,0.0
495,-8.0
499,0.0
332,0.0
681,-21.0
749,-24.0
765,0.0
1259,-18.0
402,0.0
506,0.0
324,0.0
426,0.0
708,0.0
974,-218.0
580,0.0
670,-36.0
424,-43.0
1523,0.0
577,0.0
516,0.0
1175,-72.0
928,0.0
501,0.0
490,0.0
930,-46.0
342,0.0
765,-26.0
1346,-299.0
835,-48.0
1031,-25.0
326,-46.0
266,0.0
410,0.0
419,-5.0
584,-34.0
697,0.0
612,0.0
1425,-100.0
1088,0.0
655,0.0
5264,-200.0
339,0.0
506,0.0
833,-50.0
319,0.0
473,-23.0
1023,-14.0
590,-56.0
498,0.0
415,-27.0
430,0.0
1366,0.0
838,-14.0
756,0.0
513,-26.0
490,0.0
751,-44.0
