length,score
4657,-603.0
7016,-936.0
1532,0.0
339,0.0
2219,-579.0
1528,0.0
611,0.0
7174,-931.0
6720,-1174.0
830,0.0
2088,-137.0
8693,-800.0
4320,-934.0
549,0.0
766,-23.0
5009,-617.0
1129,-55.0
1104,-67.0
1378,-78.0
662,0.0
452,0.0
617,-23.0
6583,-614.0
1024,-21.0
423,-42.0
1528,-76.0
414,0.0
4724,-787.0
1132,-200.0
2071,-272.0
589,0.0
7104,-900.0
2978,-400.0
3901,-572.0
1182,-79.0
3216,-644.0
3230,-200.0
3359,-300.0
767,-28.0
7618,-1486.0
3687,-458.0
463,0.0
365,0.0
845,-17.0
3171,-576.0
650,-14.0
551,0.0
5234,-237.0
518,0.0
573,-56.0
805,0.0
587,0.0
2523,-634.0
1351,-100.0
757,0.0
752,0.0
7265,-1000.0
1630,-100.0
1946,-240.0
4186,-400.0
330,0.0
1204,0.0
2715,-61.0
1477,-288.0
503,0.0
5050,-908.0
584,-24.0
1243,-44.0
1262,-9.0
838,-21.0
939,-20.0
848,-44.0
1098,-84.0
663,-50.0
581,0.0
594,0.0
3232,-106.0
2760,-178.0
439,0.0
1517,-100.0
4875,-426.0
1535,-279.0
1201,0.0
10022,-300.0
327,0.0
351,0.0
4707,-100.0
689,-29.0
854,-22.0
1953,-368.0
507,-16.0
367,0.0
1818,-260.0
333,0.0
1342,-59.0
1339,0.0
3923,-571.0
4409,-414.0
442,0.0
558,-22.0
596,-30.0
3028,-300.0
866,-24.0
413,0.0
1047,-100.0
5900,-973.0
1364,0.0
573,0.0
1027,-49.0
912,-46.0
800,0.0
2653,-549.0
411,0.0
3524,-351.0
3092,-100.0
3646,-311.0
715,-24.0
777,0.0
4020,-167.0
4253,-541.0
585,0.0
862,0.0
1741,0.0
432,0.0
594,0.0
510,0.0
6067,-909.0
399,0.0
2833,-236.0
9971,-1453.0
606,0.0
414,0.0
338,0.0
2354,-200.0
1305,0.0
3866,-244.0
1104,-120.0
518,0.0
706,-14.0
1139,-200.0
592,-24.0
978,0.0
710,0.0
322,0.0
673,-71.0
767,-5.0
1424,-315.0
2714,-500.0
1341,0.0
1644,-100.0
3370,-408.0
1090,-153.0
788,0.0
6108,-663.0
405,-12.0
510,0.0
421,0.0
498,-77.0
1876,0.0
1000,0.0
2845,-700.0
422,0.0
3701,-855.0
846,-43.0
3570,-390.0
3998,-577.0
1657,-200.0
436,-22.0
6215,-500.0
2133,-292.0
2486,-400.0
1030,-100.0
927,-74.0
