length,score
498,-26.0
330,0.0
421,0.0
326,-26.0
351,-20.0
326,-4.0
332,0.0
332,0.0
420,0.0
507,0.0
324,-35.0
426,0.0
329,0.0
453,-24.0
334,-21.0
421,0.0
332,-17.0
404,0.0
411,-7.0
326,0.0
322,-9.0
548,-28.0
330,0.0
319,0.0
316,0.0
331,0.0
344,0.0
325,-17.0
329,-4.0
329,-21.0
425,0.0
471,-24.0
502,0.0
319,-15.0
468,-24.0
325,0.0
420,0.0
335,0.0
462,-24.0
400,0.0
323,0.0
342,-4.0
414,-19.0
419,0.0
325,0.0
329,0.0
412,0.0
484,-24.0
337,0.0
414,-4.0
344,0.0
330,-10.0
407,-4.0
324,0.0
329,0.0
416,-6.0
483,-28.0
407,0.0
469,-26.0
423,0.0
431,-9.0
316,-5.0
511,-26.0
333,0.0
398,0.0
327,-21.0
357,-17.0
339,-17.0
323,0.0
336,0.0
490,-26.0
412,-19.0
409,0.0
327,-7.0
412,0.0
329,0.0
352,0.0
325,0.0
331,-11.0
414,0.0
327,0.0
337,-5.0
471,-24.0
320,0.0
406,-11.0
487,-24.0
577,0.0
507,-30.0
427,0.0
318,-4.0
328,-5.0
327,0.0
322,-21.0
length,score
100000,-2000.0
100000,0.0
length,score
100000,-364.0
100000,-326.0
length,score
100000,-100.0
100000,-230.0
length,score
1202,-189.0
3835,-100.0
1454,0.0
1020,-162.0
1771,-84.0
5060,-100.0
4780,-472.0
9784,-200.0
18973,-400.0
2812,-244.0
3067,-192.0
3895,-100.0
1614,-313.0
2032,-301.0
919,0.0
8854,-100.0
5000,-100.0
12947,-100.0
2045,-258.0
4093,-268.0
22184,-2000.0
100000,-910.0
length,score
236,0.0
100000,-100.0
100000,-100.0
length,score
100000,0.0
100000,0.0
