length,score
678,0.0
4265,-390.0
678,-22.0
14479,-2000.0
448,0.0
633,0.0
768,-40.0
6081,-1025.0
475,0.0
16823,-2000.0
2890,-120.0
500,-42.0
9703,-975.0
1692,-436.0
745,0.0
499,0.0
2498,-324.0
919,0.0
919,-100.0
333,-22.0
680,-83.0
918,0.0
1788,-336.0
1369,-137.0
261,0.0
1528,-241.0
2216,-252.0
753,0.0
321,0.0
491,-20.0
424,-5.0
838,-6.0
484,0.0
502,-165.0
938,-266.0
407,0.0
761,-30.0
423,0.0
2480,-431.0
838,0.0
485,-25.0
506,-13.0
245,0.0
589,-200.0
426,0.0
695,0.0
1037,0.0
1464,-232.0
411,0.0
1023,-21.0
597,-8.0
584,0.0
612,-40.0
315,0.0
327,0.0
513,-100.0
3049,0.0
2344,-100.0
1171,-88.0
338,0.0
755,0.0
1762,-420.0
414,-19.0
2276,-325.0
3190,-100.0
341,0.0
415,-21.0
249,0.0
2514,0.0
2115,-281.0
1663,0.0
507,0.0
433,-29.0
3078,-400.0
2124,-111.0
1814,-248.0
1192,-100.0
643,-116.0
754,-46.0
919,-48.0
422,0.0
541,0.0
667,-28.0
806,-144.0
936,-144.0
587,-57.0
757,-100.0
492,0.0
489,-63.0
1286,-200.0
1989,-215.0
1432,-302.0
435,-48.0
1363,-36.0
675,-20.0
405,-13.0
1109,-34.0
671,-78.0
599,0.0
248,0.0
589,0.0
435,0.0
953,-101.0
420,0.0
333,-22.0
1005,0.0
423,0.0
495,0.0
841,0.0
830,-476.0
334,0.0
714,0.0
6267,-124.0
576,-10.0
1494,-161.0
1326,-120.0
1122,-84.0
498,0.0
320,0.0
413,0.0
1009,-65.0
498,0.0
694,0.0
573,0.0
500,0.0
409,0.0
499,-26.0
411,0.0
324,0.0
322,0.0
431,0.0
429,-19.0
1334,-140.0
413,0.0
590,-33.0
344,0.0
322,0.0
430,-43.0
322,0.0
329,0.0
408,-2.0
596,-48.0
664,-40.0
433,-7.0
573,-61.0
1042,0.0
830,-54.0
759,0.0
587,0.0
575,0.0
665,-32.0
638,-5.0
860,-70.0
502,0.0
405,0.0
585,-63.0
496,-23.0
407,0.0
838,-35.0
889,-185.0
665,-33.0
675,0.0
373,0.0
13990,-534.0
601,0.0
773,-222.0
678,0.0
366,0.0
750,-34.0
824,-100.0
491,0.0
3049,0.0
581,-86.0
673,-57.0
408,0.0
488,-28.0
662,-57.0
507,0.0
418,0.0
596,0.0
495,-45.0
424,0.0
1586,-200.0
587,-37.0
577,0.0
521,-19.0
320,0.0
494,-22.0
661,-54.0
4545,-109.0
2027,-124.0
6539,-380.0
949,-60.0
676,-6.0
1499,0.0
288,0.0
1478,-404.0
2883,-207.0
515,0.0
572,-36.0
411,0.0
489,-24.0
526,-22.0
920,-133.0
1201,-120.0
591,0.0
746,-42.0
333,0.0
926,-100.0
754,-46.0
324,0.0
418,0.0
488,0.0
411,0.0
511,0.0
2624,-100.0
598,-14.0
327,0.0
487,-39.0
594,-10.0
405,-10.0
415,-47.0
587,0.0
510,0.0
341,0.0
1088,-82.0
809,-56.0
617,-22.0
683,-44.0
495,-9.0
759,-56.0
433,0.0
344,0.0
405,-20.0
1048,-23.0
673,0.0
503,0.0
843,-26.0
4510,-100.0
497,-20.0
321,-21.0
334,0.0
495,0.0
375,0.0
1509,-11.0
577,-20.0
423,-20.0
1069,-152.0
326,-17.0
410,0.0
498,0.0
756,-20.0
678,0.0
501,-9.0
583,-20.0
419,0.0
666,-27.0
670,0.0
915,0.0
329,0.0
826,-37.0
500,-83.0
687,0.0
583,0.0
569,0.0
1254,0.0
834,0.0
840,-20.0
521,-29.0
666,-41.0
675,-40.0
664,0.0
6955,0.0
327,0.0
378,0.0
512,0.0
499,-26.0
403,0.0
504,0.0
593,0.0
590,-22.0
430,-21.0
463,0.0
651,0.0
774,-18.0
586,0.0
889,-30.0
513,-24.0
578,-20.0
1007,-139.0
602,-22.0
679,-24.0
748,0.0
424,0.0
749,-31.0
2282,-42.0
499,0.0
527,-18.0
422,0.0
922,-114.0
1025,-82.0
1004,-20.0
501,0.0
754,-30.0
847,-24.0
685,-5.0
866,0.0
1185,-18.0
415,0.0
575,0.0
419,-26.0
495,0.0
944,-22.0
771,0.0
507,0.0
421,0.0
923,0.0
411,0.0
578,0.0
575,-11.0
589,0.0
507,0.0
764,-19.0
777,-22.0
422,0.0
501,0.0
640,-37.0
2077,-200.0
496,-24.0
493,0.0
516,0.0
564,0.0
529,0.0
1276,0.0
754,0.0
920,-20.0
587,0.0
675,-16.0
672,0.0
812,-28.0
508,-1.0
429,0.0
581,-24.0
858,-41.0
857,0.0
333,-2.0
325,0.0
681,0.0
505,-34.0
407,0.0
519,0.0
1003,-135.0
580,0.0
603,0.0
497,-6.0
1012,-94.0
613,0.0
500,0.0
349,0.0
321,0.0
503,0.0
780,0.0
498,0.0
1282,-174.0
590,0.0
1187,-32.0
1355,-26.0
485,0.0
1690,-14.0
493,0.0
1098,0.0
1264,-42.0
422,0.0
836,-83.0
2146,-64.0
830,0.0
276,0.0
761,-15.0
1860,-249.0
1267,-15.0
1260,-7.0
1004,-13.0
751,-36.0
426,0.0
420,-1.0
576,-50.0
1092,-7.0
936,-26.0
1521,-104.0
1690,-60.0
336,0.0
518,-53.0
562,0.0
401,-16.0
336,0.0
1443,-68.0
491,-21.0
554,-28.0
352,0.0
2602,-50.0
768,-19.0
586,-36.0
758,-20.0
1517,0.0
1102,-73.0
1098,-72.0
1172,-37.0
1019,-60.0
940,0.0
1363,-43.0
1271,-16.0
599,-16.0
518,-13.0
669,-27.0
497,0.0
1594,-22.0
665,-40.0
588,-44.0
940,-50.0
11011,-421.0
762,-41.0
1200,-56.0
1197,-106.0
1022,-25.0
567,0.0
848,0.0
491,-24.0
498,0.0
776,0.0
505,-22.0
1013,-22.0
12714,-300.0
433,-44.0
324,-18.0
852,0.0
412,-15.0
485,0.0
830,0.0
330,-4.0
924,-47.0
416,0.0
597,-59.0
665,0.0
435,0.0
496,0.0
644,-50.0
501,-32.0
323,0.0
435,0.0
416,0.0
3988,-746.0
2511,-499.0
389,0.0
1943,0.0
679,0.0
767,0.0
504,-83.0
1613,-673.0
1029,0.0
431,-7.0
3469,-200.0
532,0.0
1265,-23.0
665,-9.0
554,-46.0
410,0.0
592,0.0
924,-26.0
403,-13.0
403,0.0
519,0.0
654,-7.0
479,0.0
674,0.0
643,-50.0
851,-26.0
1479,-120.0
590,0.0
2127,0.0
770,-44.0
490,0.0
528,0.0
502,0.0
664,0.0
487,-17.0
1447,-36.0
739,0.0
1168,-77.0
324,0.0
404,0.0
494,-5.0
497,-48.0
326,-17.0
425,-40.0
407,0.0
693,-42.0
506,0.0
579,-22.0
496,0.0
329,-21.0
689,-94.0
419,0.0
415,0.0
675,0.0
775,-10.0
923,0.0
1026,0.0
1172,0.0
360,-11.0
499,-20.0
422,0.0
582,0.0
588,0.0
680,-46.0
333,0.0
341,-24.0
668,-76.0
538,-32.0
509,0.0
514,-37.0
8266,-200.0
975,-156.0
432,-30.0
331,0.0
1046,0.0
434,-10.0
492,0.0
810,-256.0
921,-381.0
339,0.0
938,0.0
573,-19.0
744,-126.0
495,-22.0
327,0.0
340,0.0
494,-40.0
338,0.0
1569,0.0
320,0.0
493,0.0
579,-3.0
313,0.0
425,-48.0
667,0.0
366,0.0
581,0.0
522,0.0
421,-6.0
806,-50.0
499,0.0
581,-45.0
569,-16.0
734,0.0
1020,-48.0
353,0.0
408,0.0
421,0.0
499,-24.0
1190,-88.0
408,0.0
519,-80.0
332,0.0
318,0.0
496,-10.0
513,-30.0
673,-22.0
411,0.0
494,-42.0
604,-13.0
421,0.0
672,-44.0
423,0.0
933,0.0
750,-127.0
575,-32.0
344,0.0
500,0.0
605,0.0
330,0.0
586,-26.0
508,0.0
500,0.0
504,0.0
331,0.0
400,-22.0
494,0.0
389,-15.0
337,0.0
425,-40.0
607,-26.0
502,0.0
335,-24.0
1184,0.0
407,0.0
1455,-100.0
758,-48.0
914,-47.0
598,-22.0
496,-7.0
583,0.0
315,0.0
317,0.0
419,0.0
585,-26.0
670,-94.0
549,-41.0
397,0.0
416,0.0
406,-42.0
425,0.0
410,0.0
333,0.0
323,0.0
387,0.0
502,0.0
942,0.0
665,0.0
413,0.0
675,-2.0
771,-212.0
498,0.0
594,-77.0
484,-43.0
333,-19.0
510,-9.0
1168,-4.0
433,0.0
343,-26.0
423,0.0
517,-41.0
481,0.0
523,0.0
346,-13.0
407,-4.0
578,0.0
425,0.0
492,0.0
673,-8.0
409,0.0
414,0.0
417,0.0
738,-32.0
508,0.0
589,-46.0
503,0.0
410,0.0
612,0.0
322,0.0
335,-17.0
507,-11.0
338,-22.0
414,0.0
496,-6.0
663,-15.0
1037,-46.0
411,0.0
915,-81.0
572,0.0
941,0.0
557,0.0
420,0.0
687,-88.0
668,0.0
407,0.0
323,0.0
327,0.0
584,0.0
828,-52.0
