length,score
1099,-44.0
3240,-100.0
846,0.0
682,0.0
984,-100.0
3145,-255.0
681,-100.0
13030,-1683.0
5276,-616.0
3902,-508.0
2372,-22.0
455,0.0
676,0.0
1547,-100.0
3170,-200.0
925,0.0
544,0.0
1455,-50.0
2917,-300.0
1026,-24.0
937,-48.0
607,0.0
1013,-67.0
500,0.0
1752,-106.0
10429,-1540.0
749,-62.0
765,0.0
8835,-700.0
1269,-53.0
6329,-1358.0
414,0.0
10528,-1170.0
1196,-30.0
7133,-759.0
3202,-300.0
1142,-45.0
1237,0.0
726,-44.0
9086,-400.0
7306,-866.0
591,-6.0
577,-28.0
6522,-691.0
2162,-46.0
20903,-1781.0
385,0.0
1640,-200.0
961,0.0
4449,-308.0
1349,0.0
256,0.0
3010,-200.0
868,0.0
7065,-1430.0
986,0.0
627,0.0
5905,-517.0
564,0.0
7299,-989.0
3463,-300.0
1861,-125.0
2142,-227.0
831,-19.0
1405,-126.0
1090,-100.0
4659,-100.0
513,0.0
361,0.0
903,0.0
2281,-100.0
2211,-163.0
430,-6.0
2918,-300.0
1927,-733.0
2864,-363.0
1205,-32.0
5513,-400.0
5999,-845.0
7209,-500.0
2451,-300.0
7258,-1268.0
913,0.0
19404,-1740.0
2962,-200.0
3074,0.0
3180,-100.0
3034,-488.0
1194,0.0
1706,-100.0
590,-12.0
501,0.0
