length,score
778,0.0
3825,-626.0
2024,-206.0
342,-1.0
1188,-24.0
1870,-371.0
9700,-2000.0
753,-29.0
9104,-2000.0
1015,0.0
335,0.0
527,-2.0
757,0.0
10648,-2000.0
852,-22.0
674,0.0
761,-28.0
2197,-892.0
412,0.0
555,0.0
1779,-52.0
6085,-921.0
1968,-455.0
2390,-508.0
925,-7.0
1343,-100.0
1321,0.0
2738,-554.0
748,-20.0
533,0.0
3856,-200.0
525,0.0
2207,-163.0
1098,-24.0
758,0.0
2562,-200.0
1948,-93.0
417,-38.0
587,-22.0
660,-22.0
563,-22.0
855,-5.0
1414,-151.0
1780,-100.0
1948,-267.0
2574,-542.0
436,0.0
607,0.0
590,0.0
1211,-200.0
468,0.0
2400,-408.0
806,-19.0
933,0.0
1353,-301.0
2471,-168.0
781,0.0
579,0.0
3148,-522.0
514,-26.0
1804,-67.0
1229,-100.0
3023,-497.0
1492,-200.0
2716,-1.0
737,-24.0
1290,-100.0
1903,-200.0
1028,-8.0
851,-20.0
594,0.0
854,0.0
669,-100.0
419,0.0
579,0.0
418,0.0
922,-40.0
663,0.0
819,0.0
876,-59.0
1881,-449.0
501,0.0
1019,-14.0
665,-79.0
776,0.0
870,-18.0
1353,-49.0
1162,-138.0
418,0.0
362,-4.0
691,-28.0
494,-20.0
676,-6.0
1197,-100.0
340,0.0
835,-72.0
874,0.0
524,0.0
748,0.0
423,0.0
1858,-100.0
617,0.0
732,-24.0
533,-35.0
685,0.0
815,0.0
673,-22.0
849,0.0
466,-18.0
1814,-401.0
1687,-16.0
679,-52.0
865,0.0
1016,-138.0
747,-42.0
1110,-37.0
758,-13.0
5337,-300.0
636,0.0
917,0.0
478,0.0
1020,-100.0
696,-43.0
1460,-59.0
1051,-26.0
7233,-400.0
584,0.0
496,-40.0
734,-24.0
683,-36.0
932,-48.0
520,-26.0
844,-18.0
671,0.0
1114,-75.0
591,0.0
766,-22.0
944,-32.0
484,-1.0
2381,-156.0
1040,0.0
666,0.0
683,0.0
4216,-100.0
606,-26.0
584,-18.0
1273,-59.0
591,0.0
302,0.0
768,-24.0
1275,-24.0
3346,-334.0
350,0.0
5102,-500.0
1343,-268.0
5209,-400.0
581,0.0
279,0.0
2900,-622.0
338,0.0
636,0.0
937,-64.0
1523,-108.0
4182,-200.0
2636,-330.0
1203,-60.0
924,0.0
579,0.0
1106,-22.0
