length,score
5363,-1459.0
1858,-120.0
1030,-31.0
673,0.0
4458,-620.0
528,0.0
865,0.0
1463,-13.0
4782,-434.0
2129,-511.0
4762,-691.0
4315,-300.0
919,-11.0
1812,-272.0
10049,-900.0
773,-39.0
1447,-31.0
1539,0.0
1954,-121.0
811,0.0
532,0.0
737,-33.0
947,0.0
582,-5.0
1777,-43.0
1450,-28.0
4287,-914.0
757,-5.0
3421,0.0
356,0.0
5363,-400.0
566,0.0
508,0.0
1540,-20.0
4003,-227.0
781,0.0
6022,-762.0
849,0.0
970,-100.0
1094,-24.0
1539,-157.0
1865,-42.0
542,0.0
2564,-400.0
539,0.0
4605,-1038.0
891,-30.0
10415,-1101.0
665,-23.0
1798,-200.0
714,0.0
3581,-463.0
588,-12.0
759,-97.0
1186,-100.0
5360,-300.0
1883,-100.0
733,-20.0
2012,-345.0
8041,-1251.0
1391,-66.0
1010,-24.0
2972,-100.0
634,0.0
5435,-500.0
4103,-342.0
7930,-1510.0
567,0.0
7629,-1223.0
354,0.0
772,0.0
520,0.0
849,-35.0
1090,-6.0
4109,-872.0
10916,-600.0
1828,-250.0
2144,-544.0
3883,-221.0
936,-72.0
581,0.0
616,0.0
919,0.0
3516,-400.0
2720,-400.0
497,0.0
5179,-600.0
3901,-316.0
946,0.0
729,0.0
2420,-200.0
710,-100.0
6098,-881.0
440,-23.0
1113,0.0
1279,-89.0
436,0.0
3552,-619.0
1042,-72.0
458,0.0
4992,-1580.0
3439,-580.0
8177,-1070.0
1802,-309.0
4381,-913.0
1612,-526.0
586,-18.0
1520,0.0
924,-30.0
673,-24.0
570,-14.0
501,-50.0
3400,-710.0
7269,-1286.0
1410,-65.0
4981,-659.0
348,0.0
749,-62.0
3472,-609.0
8674,-816.0
644,0.0
1272,-6.0
1203,0.0
1099,-96.0
444,0.0
955,0.0
2320,-100.0
1797,-580.0
659,-31.0
1827,-622.0
586,0.0
669,-22.0
1543,0.0
1042,0.0
2029,-224.0
