Loss,Accuracy
Loss,Accuracy
25.68058204650879,0.78125
12862.87109375,1.0
54.59044647216797,0.96875
29.870676040649414,1.0
12.302071571350098,0.90625
7.919648170471191,0.90625
12.679732322692871,0.09375
3.5339417457580566,0.9375
3.0108847618103027,1.0
1.3053268194198608,0.96875
4.196828842163086,0.9375
9.064095497131348,0.0625
0.8884336948394775,0.96875
0.8545362949371338,0.8125
0.301436185836792,0.96875
0.424639493227005,0.875
0.3660900294780731,0.9375
0.33271661400794983,0.78125
0.4066179692745209,0.90625
1.3683066368103027,0.125
2.217583417892456,0.96875
4.448113918304443,0.09375
1.3165020942687988,0.9375
2.3211283683776855,0.21875
2.2555289268493652,0.90625
2.8456168174743652,0.125
1.0583875179290771,0.8125
1.9727424383163452,0.25
0.4247836470603943,0.96875
0.7319021224975586,0.875
0.6924014687538147,0.96875
1.3422397375106812,0.53125
0.6419215202331543,0.96875
0.9588894844055176,0.21875
0.9194543361663818,0.90625
1.0494508743286133,0.25
0.39991146326065063,1.0
0.889939546585083,0.875
0.7179865837097168,0.9375
1.2575957775115967,0.625
0.959614634513855,0.90625
2.0065197944641113,0.84375
2.0372257232666016,0.96875
3.5281283855438232,0.53125
1.8870552778244019,0.9375
2.503721237182617,0.15625
33.53977966308594,0.90625
8.673497200012207,0.0625
2.0807385444641113,0.96875
1.344611644744873,0.9375
0.5221837759017944,0.9375
0.5336834192276001,1.0
1.081015706062317,0.9375
4.192038536071777,0.0625
1.2081737518310547,0.9375
0.9901986718177795,0.375
0.45697784423828125,0.9375
0.24655497074127197,0.84375
0.24592502415180206,0.96875
0.4746285676956177,0.84375
1.1140251159667969,0.96875
1.5884323120117188,0.28125
0.7677868604660034,1.0
1.7015228271484375,0.96875
3.0390219688415527,0.90625
4.9207844734191895,0.09375
1.4938679933547974,0.96875
0.6544628143310547,0.875
0.4763336181640625,0.9375
0.7898619771003723,0.625
1.1625292301177979,0.9375
2.936781406402588,0.15625
2.6474685668945312,0.90625
3.7537217140197754,0.0625
2.3161439895629883,0.9375
4.955415725708008,0.03125
3.9167606830596924,0.90625
5.213854789733887,0.0
23.867610931396484,0.90625
12.194210052490234,0.03125
2.2294845581054688,0.96875
1.8084731101989746,0.78125
13.49055290222168,0.96875
14.070048332214355,0.09375
7.454095840454102,0.15625
3.005859851837158,0.875
2.892042398452759,0.1875
1.286628246307373,1.0
5.098458290100098,0.09375
2.01680850982666,0.9375
4.137786388397217,0.0625
0.7431249618530273,0.9375
0.8465781211853027,0.84375
0.9419267773628235,0.96875
1.102262258529663,0.3125
1.6911592483520508,0.90625
4.079626083374023,0.0625
0.7616783380508423,0.90625
0.631900429725647,0.75
0.832669734954834,0.96875
1.5880341529846191,0.15625
1.4210600852966309,0.96875
2.4054055213928223,0.09375
1.2133013010025024,0.96875
0.9750882387161255,0.53125
1.3023375272750854,0.96875
1.997201919555664,0.09375
1.5618021488189697,0.9375
3.751915693283081,0.0625
1.079613208770752,0.96875
2.3694663047790527,0.15625
4.2331695556640625,0.96875
7.232132911682129,0.03125
1.2188913822174072,0.875
2.770132303237915,0.3125
4.17448616027832,0.9375
10.054544448852539,0.0625
10.161819458007812,0.9375
14.783702850341797,0.03125
18.242483139038086,0.9375
13.426700592041016,0.0625
1.8710291385650635,0.96875
3.895779609680176,0.9375
12.489554405212402,0.0625
4.012035846710205,0.09375
7.302656650543213,0.9375
10.53481674194336,0.0625
