length,score
775,-22.0
1096,-43.0
7458,-338.0
571,0.0
847,-81.0
601,-1.0
1046,-20.0
2724,-100.0
3721,-306.0
580,0.0
3421,-400.0
389,0.0
1695,-20.0
19324,-2000.0
1890,-90.0
1536,-84.0
2607,-100.0
994,-157.0
7653,-953.0
790,-22.0
733,-43.0
1205,-1.0
15396,-700.0
3651,-300.0
388,0.0
837,-1.0
1123,-82.0
1013,0.0
3142,-100.0
4656,-819.0
520,0.0
4470,-212.0
848,-68.0
2437,-387.0
839,-43.0
689,-60.0
6715,-623.0
2984,-400.0
2469,-246.0
2712,-169.0
449,0.0
453,0.0
6099,-504.0
606,0.0
526,0.0
3080,-200.0
863,0.0
10844,-1509.0
857,-20.0
1906,-147.0
490,0.0
938,0.0
3104,-610.0
1289,-79.0
450,0.0
2895,-200.0
924,-20.0
11064,-2000.0
436,-48.0
584,0.0
9979,-1172.0
1549,-100.0
662,-3.0
1228,0.0
6158,-1207.0
6740,-1042.0
4262,-651.0
1207,-100.0
843,-24.0
1613,0.0
3476,-312.0
1123,-23.0
748,-2.0
1137,-76.0
1710,-100.0
951,0.0
665,0.0
946,-100.0
1776,-100.0
1194,-43.0
7670,-1015.0
1019,-10.0
435,0.0
694,-46.0
1003,0.0
619,0.0
4789,-300.0
2009,0.0
773,0.0
837,0.0
714,0.0
4147,-457.0
995,0.0
1948,0.0
6488,-564.0
5876,-1232.0
1108,0.0
3150,-255.0
906,-70.0
938,-49.0
7596,-846.0
4587,-100.0
576,0.0
1367,-52.0
438,0.0
664,0.0
