length,score
696,-100.0
1314,-19.0
925,-64.0
502,0.0
659,-5.0
869,0.0
3384,-332.0
744,-70.0
591,0.0
631,-58.0
771,0.0
493,-13.0
756,-70.0
3358,-200.0
2743,-147.0
4281,-300.0
504,0.0
515,0.0
666,0.0
425,0.0
2136,-206.0
1824,-1200.0
900,-289.0
3071,-200.0
1816,-606.0
1342,0.0
671,0.0
449,0.0
4903,-100.0
1536,0.0
320,-9.0
2557,-124.0
1438,-148.0
5525,0.0
14380,-293.0
582,0.0
338,0.0
419,0.0
2533,-100.0
398,-10.0
434,0.0
503,0.0
464,0.0
681,0.0
505,-5.0
1882,-200.0
1294,-57.0
846,-42.0
488,0.0
1985,-147.0
475,-26.0
417,-24.0
18170,-1589.0
2242,-100.0
3764,-100.0
3925,-261.0
3924,0.0
2345,-100.0
4791,-100.0
405,-6.0
1285,0.0
751,-42.0
1058,-9.0
2084,-100.0
693,-30.0
3028,-100.0
4289,-284.0
754,-66.0
329,0.0
426,0.0
573,0.0
6183,-100.0
827,-22.0
1112,-126.0
1093,0.0
998,-53.0
1753,-400.0
495,-42.0
351,-9.0
334,0.0
518,0.0
492,-9.0
407,-9.0
504,0.0
417,0.0
581,-42.0
4125,-100.0
1496,-100.0
4260,-200.0
669,-68.0
2487,0.0
496,0.0
2536,-100.0
3085,-100.0
515,0.0
1100,-132.0
839,-10.0
1210,-100.0
316,-9.0
405,0.0
324,-26.0
420,0.0
416,0.0
319,0.0
328,0.0
4266,0.0
3200,0.0
410,0.0
800,0.0
775,0.0
425,-18.0
284,0.0
2370,-148.0
2124,-100.0
1138,-88.0
414,0.0
419,0.0
1426,-96.0
586,0.0
2282,-222.0
419,-1.0
1102,0.0
4435,-100.0
493,0.0
493,0.0
487,-45.0
2389,-200.0
1548,-100.0
1811,-100.0
3410,-100.0
2441,-300.0
742,-40.0
1333,-100.0
2740,-400.0
502,0.0
511,0.0
411,0.0
399,0.0
2393,-100.0
585,0.0
511,0.0
609,-22.0
504,0.0
2865,-100.0
666,-26.0
1043,0.0
3496,0.0
1568,-197.0
1362,-19.0
2569,0.0
411,0.0
406,-12.0
5950,0.0
403,0.0
1701,0.0
319,0.0
582,0.0
409,0.0
787,-44.0
1440,-237.0
422,0.0
